Reaction,Answers
HCl + NaOH, NaCl + H2O
H2 + O2, H2O
Zn + HCl, ZnCl2 + H2
2Na + Cl2, 2NaCl
CH4 + O2, CO2 + H2O
C + O2, CO2
Mg + O2, MgO
Fe + CuSO4, FeSO4 + Cu
CaCO3, CaO + CO2
K + H2O, KOH + H2
NaHCO3 + HCl, NaCl + CO2 + H2O
CuO + H2, Cu + H2O
CaO + H2O, Ca(OH)2
Mg + HCl, MgCl2 + H2
Al + HCl, AlCl3 + H2
Fe + O2, Fe2O3
Zn + CuSO4, ZnSO4 + Cu
Pb(NO3)2 + KI, PbI2 + KNO3
AgNO3 + NaCl, AgCl + NaNO3
BaCl2 + H2SO4, BaSO4 + 2HCl
Na2CO3 + HCl, NaCl + CO2 + H2O
FeCl3 + NaOH, Fe(OH)3 + NaCl
CuSO4 + NaOH, Cu(OH)2 + Na2SO4
ZnSO4 + NaOH, Zn(OH)2 + Na2SO4
AlCl3 + NaOH, Al(OH)3 + NaCl
NH4Cl + NaOH, NH3 + NaCl + H2O
CH3COOH + NaOH, CH3COONa + H2O
HCl + NH3, NH4Cl
H2SO4 + NaOH, Na2SO4 + 2H2O
HNO3 + NaOH, NaNO3 + H2O
H3PO4 + NaOH, Na3PO4 + 3H2O
H2CO3, H2O + CO2
H2S, H2 + S
SO2 + H2O, H2SO3
NO2 + H2O, HNO2 + HNO3
Cl2 + H2O, HCl + HClO
Br2 + H2O, HBr + HBrO
I2 + H2O, HI + HIO
C2H5OH + O2, CO2 + H2O
CH3COOH + C2H5OH, CH3COOC2H5 + H2O
C6H12O6 + O2, CO2 + H2O
C2H4 + Br2, C2H4Br2
C2H2 + Br2, C2H2Br2
C6H6 + Br2, C6H5Br + HBr
C6H6 + HNO3 (H2SO4 catalyst), C6H5NO2 + H2O
CH3COOH + NaHCO3, CH3COONa + CO2 + H2O
C2H5OH + Na, C2H5ONa + H2
CH3COOH + Na, CH3COONa + H2
C6H5OH + NaOH, C6H5ONa + H2O
CH3CHO + HCN, CH3CH(OH)CN
CH3COCl + NH3, CH3CONH2 + HCl
CH3COOCH3 + NaOH, CH3COONa + CH3OH
C6H5COOH + NaOH, C6H5COONa + H2O
C6H5NH2 + HCl, C6H5NH3Cl
CH3CH2Cl + NaOH, CH3CH2OH + NaCl
CH3CH2Br + NaOH, CH3CH2OH + NaBr
CH3CH2I + NaOH, CH3CH2OH + NaI
CH3CH2OH + H2SO4 (heat), CH2=CH2 + H2O
CH3CH2OH + KMnO4, CH3COOH + MnO2 + KOH
C6H5CH3 + HNO3 (H2SO4 catalyst), C6H4(NO2)CH3 + H2O
C6H5CH3 + Br2 (FeBr3 catalyst), C6H4BrCH3 + HBr
CH3COCH3 + HCN, CH3CH(OH)CN
CH3CH2CH2OH + KMnO4, CH3CH2COOH + MnO2 + KOH
C6H5CH2OH + KMnO4, C6H5COOH + MnO2 + KOH
CH3CH2CH2Cl + NaOH, CH3CH2CH2OH + NaCl
CH3CH2CH2Br + NaOH, CH3CH2CH2OH + NaBr
CH3CH2CH2I + NaOH, CH3CH2CH2OH + NaI
CH3CH2CH2OH + H2SO4 (heat), CH3CH=CH2 + H2O
CH3CH2COOH + NaOH, CH3CH2COONa + H2O
C6H5COOH + NaOH, C6H5COONa + H2O
C6H5NH2 + HCl, C6H5NH3Cl
CH3CH2Cl + NaOH, CH3CH2OH + NaCl
CH3CH2Br + NaOH, CH3CH2OH + NaBr
CH3CH2I + NaOH, CH3CH2OH + NaI
CH3CH2OH + H2SO4 (heat), CH2=CH2 + H2O
CH3CH2OH + KMnO4, CH3COOH + MnO2 + KOH
C6H5CH3 + HNO3 (H2SO4 catalyst), C6H4(NO2)CH3 + H2O
C6H5CH3 + Br2 (FeBr3 catalyst), C6H4BrCH3 + HBr
CH3COCH3 + HCN, CH3CH(OH)CN
CH3CH2CH2OH + KMnO4, CH3CH2COOH + MnO2 + KOH
C6H5CH2OH + KMnO4, C6H5COOH + MnO2 + KOH
CH3CH2CH2Cl + NaOH, CH3CH2CH2OH + NaCl
CH3CH2CH2Br + NaOH, CH3CH2CH2OH + NaBr
CH3CH2CH2I + NaOH, CH3CH2CH2OH + NaI
CH3CH2CH2OH + H2SO4 (heat), CH3CH=CH2 + H2O
CH3CH2COOH + NaOH, CH3CH2COONa + H2O
C6H5COOH + NaOH, C6H5COONa + H2O
C6H5NH2 + HCl, C6H5NH3Cl
CH3CH2Cl + NaOH, CH3CH2OH + NaCl
CH3CH2Br + NaOH, CH3CH2OH + NaBr
CH3CH2I + NaOH, CH3CH2OH + NaI
CH3CH2OH + H2SO4 (heat), CH2=CH2 + H2O
CH3CH2OH + KMnO4, CH3COOH + MnO2 + KOH
C6H5CH3 + HNO3 (H2SO4 catalyst), C6H4(NO2)CH3 + H2O
C6H5CH3 + Br2 (FeBr3 catalyst), C6H4BrCH3 + HBr
CH3COCH3 + HCN, CH3CH(OH)CN
CH3CH2CH2OH + KMnO4, CH3CH2COOH + MnO2 + KOH
C6H5CH2OH + KMnO4, C6H5COOH + MnO2 + KOH
CH3CH2CH2Cl + NaOH, CH3CH2CH2OH + NaCl
CH3CH2CH2Br + NaOH, CH3CH2CH2OH + NaBr
CH3CH2CH2I + NaOH, CH3CH2CH2OH + NaI
CH3CH2CH2OH + H2SO4 (heat), CH3CH=CH2 + H2O
CH3CH2COOH + NaOH, CH3CH2COONa + H2O
C6H5COOH + NaOH, C6H5COONa + H2O
C6H5NH2 + HCl, C6H5NH3Cl
CH3CH2Cl + NaOH, CH3CH2OH + NaCl
CH3CH2Br + NaOH, CH3CH2OH + NaBr
CH3CH2I + NaOH, CH3CH2OH + NaI
CH3CH2OH + H2SO4 (heat), CH2=CH2 + H2O
CH3CH2OH + KMnO4, CH3COOH + MnO2 + KOH
C6H5CH3 + HNO3 (H2SO4 catalyst), C6H4(NO2)CH3 + H2O
C6H5CH3 + Br2 (FeBr3 catalyst), C6H4BrCH3 + HBr
CH3COCH3 + HCN, CH3
reaction,products
CH3CHO + 2Cu + 5OH,Cu₂O (Cu²⁺ reduced) + CH₃COO⁻ + 3H₂O
C6H12O6 + 6O2,6CO₂ + 6H₂O (C₆H₁₂O₆ oxidized)
2H2 + O2,2H₂O (H₂ oxidized)
CH4 + 2O2,CO₂ + 2H₂O (CH₄ oxidized)
2KClO3,2KCl + 3O₂ (ClO₃⁻ reduced)
2Na + Cl2,2NaCl(Na oxidized)
CaCO3,CaO + CO₂ (CaCO₃ decomposed)
2HgO,2Hg + O2 (HgO reduced)
2H2O2,2H₂O + O₂ (H₂O₂ decomposed)
Fe2O3 + 3CO,2Fe (Fe³⁺ reduced) + 3CO₂ (CO oxidized)
4Al + 3O2,2Al₂O₃ (Al oxidized)
2HCl + Zn,ZnCl₂ (Zn oxidized) + H₂
Mg + 2HCl,MgCl₂ (Mg oxidized) + H₂
Ca(OH)2 + CO2,CaCO₃ + H₂O (CO₂ reduced)
Na2SO4 + BaCl2,BaSO₄ + 2NaCl (Ba²⁺ reduced)
NH3 + HCl,NH₄Cl (NH₃ oxidized)
C2H5OH + 3O2,2CO₂ + 3H₂O (C₂H₅OH oxidized)
NaHCO3,Na₂CO₃ + CO₂ + H₂O (HCO₃⁻ oxidized)
2KBr + Cl2,2KCl + Br₂ (Br⁻ oxidized)
H2SO4 + 2NaOH,Na₂SO₄ + 2H₂O (NaOH oxidized)
2AgNO3 + Cu,Cu(NO₃)₂ + 2Ag (Ag⁺ reduced)
2Na + H2,2NaH (Na oxidized)
Ca + 2H2O,Ca(OH)₂ + H₂ (Ca oxidized)
C6H6 + 7.5O2,6CO₂ + 3H₂O (C₆H₆ oxidized)
2Na + 2H2O,2NaOH + H₂ (Na oxidized)
N2 + 3H2,2NH₃ (H₂ oxidized)
2Fe + 3Cl2,2FeCl₃ (Fe oxidized)
C6H12 + 9O2,6CO₂ + 6H₂O (C₆H₁₂ oxidized)
2NH4NO3,2N₂ + O₂ + 4H₂O (NH₄⁺ oxidized)
4P + 5O2,2P₂O₅ (P oxidized)
H2C2O4 + KMnO4 + H2SO4,MnSO₄ (MnO₄⁻ reduced) + CO₂ + H₂O + K₂SO₄
H2O2 + KMnO4 + H2SO4,O₂ (H₂O₂ oxidized) + MnSO₄ + K₂SO₄ + H₂O
FeSO4 + K2Cr2O7 + H2SO4,Fe₂(SO₄)₃ (Fe²⁺ oxidized) + Cr₂(SO₄)₃ + K₂SO₄ + H₂O
2KI + K2Cr2O7 + H2SO4,I₂ (I⁻ oxidized) + Cr₂(SO₄)₃ + K₂SO₄ + H₂O
Na2C2O4 + Na2Cr2O7 + HCl,CrCl₃ (C₂O₄²⁻ oxidized) + CO₂ + NaCl + H₂O
2Na2S2O3,Na₂S₄O₆ (S₂O₃²⁻ oxidized) + Na₂SO₃
4KI + 2CuSO4,2CuI (I⁻ oxidized) + I₂ + 2K₂SO₄
kmno4+h2so4+h2s,CO2+MnSO4+k2SO4+H2O